STUDY_ACCESSION,OUTCOME
SDY25,Elisa
SDY19,Not Listed
SDY80,Virus Neutralization
SDY37,HAI
SDY18,Microarray
SDY78,HAI
SDY24,Sequencing
SDY2,ELISA
SDY36,qPCR
SDY33,PCR
SDY28,Microarray
SDY34,Microarray
SDY4,EASI score
SDY39,ELISPOT
SDY10,Microarrays
SDY15,Virus Neutralization
SDY6,ELISA
SDY3,ELISPOT
SDY7,"EASI Score	"
SDY13,EASI score
SDY41,Not Listed
SDY14,EASI Score
SDY40,Q-PCR
SDY61,Not Listed
SDY746,HAI
SDY63,HAI
SDY60,Flow Cytometry
SDY58,Not Listed
SDY74,Microarray
SDY89,Flow Cytometry
SDY56,HAI
SDY67,HAI
SDY87,Flow Cytometry
SDY144,HAI
SDY146,Flow cytometry
SDY739,Virus Neutralization
SDY111,Luminex
SDY112,HAI
SDY113,HAI
SDY97,HAI
SDY131,Q-PCR
SDY183,microarray
SDY180,HAI
SDY194,Flow Cytometry
SDY196,HAI
SDY197,HAI
SDY515,HAI
SDY198,HAI
SDY167,HAI
SDY1324,RNA sequencing
SDY200,HAI
SDY773,IGH repertoire sequencing
SDY201,HAI
SDY202,HAI
SDY224,HAI
SDY199,HAI
SDY212,HAI
SDY269,HAI
SDY270,HAI
SDY644,Virus Neutralization
SDY278,Not Listed
SDY282,Microarray
SDY272,Virus Neutralization
SDY690,Microarray
SDY315,HAI
SDY311,HAI
SDY312,HAI
SDY271,Elisa
SDY400,HAI
SDY887,Flow Cytometry
SDY667,microarray
SDY1119,HAI
SDY597,Microarray
SDY372,HAI
SDY404,HAI
SDY819,Virus Neutralization
SDY984,Flow Cytometry
SDY816,Microarray
SDY1172,RNA sequencing
SDY522,HAI
SDY720,Not Listed
SDY648,Virus Neutralization
SDY472,HAI
SDY364,HAI
SDY564,HAI
SDY296,HAI
SDY301,HAI
SDY299,Microarray
SDY568,Urinalysis
SDY753,Elisa
SDY520,HAI
SDY622,Flow Cytometry
SDY640,HAI
SDY300,Sequencing
SDY305,HAI
SDY416,Elisa
SDY519,HAI
SDY514,HAI
SDY376,HAI
SDY357,Not Listed
SDY820,Flow Cytometry
SDY396,HAI
SDY387,HAI
SDY368,HAI
SDY645,HAI
SDY675,Sequencing
SDY614,Not Listed
SDY369,HAI
SDY460,Sequencing
SDY478,HAI
SDY616,RNA sequencing
SDY314,HAI
SDY1364,Transcription profiling by array
SDY1446,ELISPOT
SDY1294,Transcription profiling by array
SDY1260,Elisa
SDY1325,Transcription profiling by array
SDY1264,Transcription profiling by array
SDY1368,Transcription profiling by array
SDY1276,HAI
SDY1370,Transcription profiling by array
SDY1328,Transcription profiling by array
SDY1289,Neutralizing Antibody Titer Assay
SDY1291,Transcription profiling by array
SDY1373,Transcription profiling by array
SDY1293,Transcription profiling by array
